,index,Workout,Day,Week,Exercise,Sets,Reps,obs,EXERCISE,number,image,Date
0,1,Workout A,1.0,Week 1,1A. Goblet Squat,3.0,10,,1A. Goblet Squat,1.0,<a href=https://doctorwho.com.br/projects/img/01.gif target='blank'><img src=https://doctorwho.com.br/projects/img/01.gif title='rent' width='150' height='150'/></a>,2022-06-23
1,1,Workout A,1.0,Week 1,2A. Chinup/Lat Pulldown,3.0,10,Use band for chinups as needed. Use Lat Pulldown if necessary.,2A. Chinup/Lat Pulldown,2.0,<a href=https://doctorwho.com.br/projects/img/02.gif target='blank'><img src=https://doctorwho.com.br/projects/img/02.gif title='rent' width='150' height='150'/></a>,2022-06-23
2,1,Workout A,1.0,Week 1,1B. Dumbbell Stepups,2.0,12,Step should be at 90-degree knee flexion. Complete all reps for one leg before switching.,1B. Dumbbell Stepups,3.0,<a href=https://doctorwho.com.br/projects/img/03.gif target='blank'><img src=https://doctorwho.com.br/projects/img/03.gif title='rent' width='150' height='150'/></a>,2022-06-23
3,1,Workout A,1.0,Week 1,2B. Single Arm Corner Press,2.0,12,,2B. Single Arm Corner Press,4.0,<a href=https://doctorwho.com.br/projects/img/04.gif target='blank'><img src=https://doctorwho.com.br/projects/img/04.gif title='rent' width='150' height='150'/></a>,2022-06-23
4,1,Workout A,1.0,Week 1,1C. Prowler Chest Press,2.0,10,,1C. Prowler Chest Press,5.0,<a href=https://doctorwho.com.br/projects/img/05.gif target='blank'><img src=https://doctorwho.com.br/projects/img/05.gif title='rent' width='150' height='150'/></a>,2022-06-23
5,1,Workout A,1.0,Week 1,2C. Seated Cable Row,2.0,10,,2C. Seated Cable Row,6.0,<a href=https://doctorwho.com.br/projects/img/06.gif target='blank'><img src=https://doctorwho.com.br/projects/img/06.gif title='rent' width='150' height='150'/></a>,2022-06-23
6,1,Workout A,1.0,Week 1,3C. Paloff Press,2.0,10,,3C. Paloff Press,7.0,<a href=https://doctorwho.com.br/projects/img/07.gif target='blank'><img src=https://doctorwho.com.br/projects/img/07.gif title='rent' width='150' height='150'/></a>,2022-06-23
7,2,Workout B,2.0,Week 1,1A. Trap Bar Deadlift,3.0,12,,1A. Trap Bar Deadlift,8.0,<a href=https://doctorwho.com.br/projects/img/08.gif target='blank'><img src=https://doctorwho.com.br/projects/img/08.gif title='rent' width='150' height='150'/></a>,2022-06-24
8,2,Workout B,2.0,Week 1,2A. Incline DB Chest Press,3.0,12,Set incline to 30 degrees.,2A. Incline DB Chest Press,9.0,<a href=https://doctorwho.com.br/projects/img/09.gif target='blank'><img src=https://doctorwho.com.br/projects/img/09.gif title='rent' width='150' height='150'/></a>,2022-06-24
9,2,Workout B,2.0,Week 1,1B. Dumbbell Split Squat,2.0,10,Hold a dumbbell in each hand.,1B. Dumbbell Split Squat,10.0,<a href=https://doctorwho.com.br/projects/img/10.gif target='blank'><img src=https://doctorwho.com.br/projects/img/10.gif title='rent' width='150' height='150'/></a>,2022-06-24
