,day,cals,type_meal,meal,link,title,Calories,Carbs,Fat,Protein,Fiber,receita,obs,Meal
0,0,2991,Breakfast,Peanut Butter Protein Oats,https://www.eatthismuch.com/food/browse/?q=Peanut%20Butter%20Protein%20Oats,Peanut Butter Protein Oats,390.0,326.0,139.0,357.0,52.0,"https://www.eatthismuch.com/recipe/nutrition/peanut-butter-protein-oats,905819/",1.0,"<a href=https://www.eatthismuch.com/recipe/nutrition/peanut-butter-protein-oats,905819/>Peanut Butter Protein Oats</a>"
1,0,2991,Lunch,Cinnamon-Raisin Peanut Butter Sandwich,https://www.eatthismuch.com/food/browse/?q=Cinnamon-Raisin%20Peanut%20Butter%20Sandwich,Cinnamon-Raisin Peanut Butter Sandwich,1580.0,482.0,181.0,150.0,70.0,"https://www.eatthismuch.com/recipe/nutrition/cinnamon-raisin-peanut-butter-sandwich,36560/",2.0,"<a href=https://www.eatthismuch.com/recipe/nutrition/cinnamon-raisin-peanut-butter-sandwich,36560/>Cinnamon-Raisin Peanut Butter Sandwich</a>"
2,0,2991,Dinner,Cheesy Chicken and Spinach,https://www.eatthismuch.com/food/browse/?q=Cheesy%20Chicken%20and%20Spinach,Cheesy Chicken and Spinach,2032.0,77.0,247.0,622.0,24.0,"https://www.eatthismuch.com/recipe/nutrition/cheesy-chicken-and-spinach,33936/",2.0,"<a href=https://www.eatthismuch.com/recipe/nutrition/cheesy-chicken-and-spinach,33936/>Cheesy Chicken and Spinach</a>"
3,0,2991,Dinner,Easy Steamed Green Beans,https://www.eatthismuch.com/food/browse/?q=Easy%20Steamed%20Green%20Beans,Easy Steamed Green Beans,124.0,70.0,2.0,18.0,27.0,"https://www.eatthismuch.com/recipe/nutrition/easy-steamed-green-beans,906198/",2.0,"<a href=https://www.eatthismuch.com/recipe/nutrition/easy-steamed-green-beans,906198/>Easy Steamed Green Beans</a>"
4,0,2991,Snack,Yogurt with Grape-nut Cereal and Honey,https://www.eatthismuch.com/food/browse/?q=Yogurt%20with%20Grape-nut%20Cereal%20and%20Honey,Yogurt with Grape-nut Cereal and Honey,171.0,275.0,9.0,146.0,26.0,"https://www.eatthismuch.com/recipe/nutrition/yogurt-with-grape-nut-cereal-and-honey,905510/",1.0,"<a href=https://www.eatthismuch.com/recipe/nutrition/yogurt-with-grape-nut-cereal-and-honey,905510/>Yogurt with Grape-nut Cereal and Honey</a>"
5,1,2975,Breakfast,Peanut Butter and Honey Oatmeal,https://www.eatthismuch.com/food/browse/?q=Peanut%20Butter%20and%20Honey%20Oatmeal,Peanut Butter and Honey Oatmeal,709.0,984.0,275.0,296.0,120.0,"https://www.eatthismuch.com/recipe/nutrition/peanut-butter-and-honey-oatmeal,1015994/",1.0,"<a href=https://www.eatthismuch.com/recipe/nutrition/peanut-butter-and-honey-oatmeal,1015994/>Peanut Butter and Honey Oatmeal</a>"
6,1,2975,Lunch,Strawberry protein smoothie,https://www.eatthismuch.com/food/browse/?q=Strawberry%20protein%20smoothie,Tropical protein smoothie,1700.0,769.0,22.0,284.0,57.0,"https://www.eatthismuch.com/recipe/nutrition/tropical-protein-smoothie,34387/",2.0,"<a href=https://www.eatthismuch.com/recipe/nutrition/tropical-protein-smoothie,34387/>Strawberry protein smoothie</a>"
7,1,2975,Lunch,Almonds,https://www.eatthismuch.com/food/browse/?q=Almonds,Almonds,656.0,61.0,142.0,60.0,35.0,"https://www.eatthismuch.com/recipe/nutrition/almonds,524950/",2.0,"<a href=https://www.eatthismuch.com/recipe/nutrition/almonds,524950/>Almonds</a>"
8,1,2975,Dinner,Taco Bowl Salad,https://www.eatthismuch.com/food/browse/?q=Taco%20Bowl%20Salad,Taco Bowl Salad,1780.0,300.0,224.0,299.0,28.0,"https://www.eatthismuch.com/recipe/nutrition/taco-bowl-salad,927253/",2.0,"<a href=https://www.eatthismuch.com/recipe/nutrition/taco-bowl-salad,927253/>Taco Bowl Salad</a>"
9,1,2975,Snack,Corn Flakes,https://www.eatthismuch.com/food/browse/?q=Corn%20Flakes,Corn Flakes,222.0,353.0,50.0,101.0,9.0,"https://www.eatthismuch.com/recipe/nutrition/corn-flakes,35465/",1.0,"<a href=https://www.eatthismuch.com/recipe/nutrition/corn-flakes,35465/>Corn Flakes</a>"
10,2,3021,Breakfast,Turkey and Spinach Omelet,https://www.eatthismuch.com/food/browse/?q=Turkey%20and%20Spinach%20Omelet,Turkey and Spinach Omelet,362.0,88.0,220.0,317.0,10.0,"https://www.eatthismuch.com/recipe/nutrition/turkey-and-spinach-omelet,907152/",1.0,"<a href=https://www.eatthismuch.com/recipe/nutrition/turkey-and-spinach-omelet,907152/>Turkey and Spinach Omelet</a>"
11,2,3021,Lunch,Peanut butter and jelly,https://www.eatthismuch.com/food/browse/?q=Peanut%20butter%20and%20jelly,Peanut butter and jelly,1484.0,417.0,184.0,124.0,53.0,"https://www.eatthismuch.com/recipe/nutrition/peanut-butter-and-jelly,33486/",2.0,"<a href=https://www.eatthismuch.com/recipe/nutrition/peanut-butter-and-jelly,33486/>Peanut butter and jelly</a>"
12,2,3021,Dinner,Tuna Curry Melt,https://www.eatthismuch.com/food/browse/?q=Tuna%20Curry%20Melt,Tuna Curry Melt,1636.0,349.0,99.0,453.0,37.0,"https://www.eatthismuch.com/recipe/nutrition/tuna-curry-melt,1012828/",2.0,"<a href=https://www.eatthismuch.com/recipe/nutrition/tuna-curry-melt,1012828/>Tuna Curry Melt</a>"
13,2,3021,Snack,Corn Flakes,https://www.eatthismuch.com/food/browse/?q=Corn%20Flakes,Corn Flakes,222.0,353.0,50.0,101.0,9.0,"https://www.eatthismuch.com/recipe/nutrition/corn-flakes,35465/",1.0,"<a href=https://www.eatthismuch.com/recipe/nutrition/corn-flakes,35465/>Corn Flakes</a>"
14,2,3021,Snack,Banana,https://www.eatthismuch.com/food/browse/?q=Banana,Banana,105.0,270.0,4.0,13.0,31.0,"https://www.eatthismuch.com/recipe/nutrition/banana,474253/",1.0,"<a href=https://www.eatthismuch.com/recipe/nutrition/banana,474253/>Banana</a>"
15,3,2984,Breakfast,Homemade Turkey McMuffins,https://www.eatthismuch.com/food/browse/?q=Homemade%20Turkey%20McMuffins,Homemade Turkey McMuffins,438.0,285.0,223.0,314.0,44.0,"https://www.eatthismuch.com/recipe/nutrition/homemade-turkey-mcmuffins,927330/",1.0,"<a href=https://www.eatthismuch.com/recipe/nutrition/homemade-turkey-mcmuffins,927330/>Homemade Turkey McMuffins</a>"
16,3,2984,Breakfast,Crispy Hash Browns,https://www.eatthismuch.com/food/browse/?q=Crispy%20Hash%20Browns,Crispy Hash Browns,342.0,500.0,142.0,59.0,36.0,"https://www.eatthismuch.com/recipe/nutrition/crispy-hash-browns,1497791/",1.0,"<a href=https://www.eatthismuch.com/recipe/nutrition/crispy-hash-browns,1497791/>Crispy Hash Browns</a>"
17,3,2984,Lunch,Quick Avocado Tuna Sandwich,https://www.eatthismuch.com/food/browse/?q=Quick%20Avocado%20Tuna%20Sandwich,Quick Avocado Tuna Sandwich,1704.0,366.0,146.0,392.0,61.0,"https://www.eatthismuch.com/recipe/nutrition/quick-avocado-tuna-sandwich,1012832/",2.0,"<a href=https://www.eatthismuch.com/recipe/nutrition/quick-avocado-tuna-sandwich,1012832/>Quick Avocado Tuna Sandwich</a>"
18,3,2984,Dinner,Green Bean and Kidney Bean Salad,https://www.eatthismuch.com/food/browse/?q=Green%20Bean%20and%20Kidney%20Bean%20Salad,3 Bean Salad,4204.0,1910.0,83.0,651.0,502.0,"https://www.eatthismuch.com/recipe/nutrition/3-bean-salad,1012950/",2.0,"<a href=https://www.eatthismuch.com/recipe/nutrition/3-bean-salad,1012950/>Green Bean and Kidney Bean Salad</a>"
19,3,2984,Snack,Corn Tuna Salad,https://www.eatthismuch.com/food/browse/?q=Corn%20Tuna%20Salad,Corn Tuna Salad,252.0,173.0,64.0,346.0,24.0,"https://www.eatthismuch.com/recipe/nutrition/corn-tuna-salad,906535/",1.0,"<a href=https://www.eatthismuch.com/recipe/nutrition/corn-tuna-salad,906535/>Corn Tuna Salad</a>"
