,day,title,type_meal,Portion,Calories,Carbs,Fat,Protein,Fiber,Meal,validador
0,0,Peanut Butter Protein Oats,Breakfast,1.2,480,401,171,439,64,"<a href=https://www.eatthismuch.com/recipe/nutrition/peanut-butter-protein-oats,905819/>Peanut Butter Protein Oats</a>",390.0
1,0,Cinnamon-Raisin Peanut Butter Sandwich,Lunch,1.2,972,593,222,184,86,"<a href=https://www.eatthismuch.com/recipe/nutrition/cinnamon-raisin-peanut-butter-sandwich,36560/>Cinnamon-Raisin Peanut Butter Sandwich</a>",790.0
2,0,Cheesy Chicken and Spinach,Dinner,1.2,1251,94,304,765,29,"<a href=https://www.eatthismuch.com/recipe/nutrition/cheesy-chicken-and-spinach,33936/>Cheesy Chicken and Spinach</a>",1016.0
3,0,Easy Steamed Green Beans,Dinner,1.2,76,86,2,22,33,"<a href=https://www.eatthismuch.com/recipe/nutrition/easy-steamed-green-beans,906198/>Easy Steamed Green Beans</a>",62.0
4,0,Yogurt with Grape-nut Cereal and Honey,Snack,1.2,210,338,11,179,32,"<a href=https://www.eatthismuch.com/recipe/nutrition/yogurt-with-grape-nut-cereal-and-honey,905510/>Yogurt with Grape-nut Cereal and Honey</a>",171.0
5,1,Peanut Butter and Honey Oatmeal,Breakfast,1.0,703,976,272,293,119,"<a href=https://www.eatthismuch.com/recipe/nutrition/peanut-butter-and-honey-oatmeal,1015994/>Peanut Butter and Honey Oatmeal</a>",709.0
6,1,Tropical protein smoothie,Lunch,1.0,843,762,21,281,56,"<a href=https://www.eatthismuch.com/recipe/nutrition/tropical-protein-smoothie,34387/>Strawberry protein smoothie</a>",850.0
7,1,Almonds,Lunch,1.0,325,60,140,59,34,"<a href=https://www.eatthismuch.com/recipe/nutrition/almonds,524950/>Almonds</a>",328.0
8,1,Taco Bowl Salad,Dinner,1.0,882,297,222,296,27,"<a href=https://www.eatthismuch.com/recipe/nutrition/taco-bowl-salad,927253/>Taco Bowl Salad</a>",890.0
9,1,Corn Flakes,Snack,1.0,220,350,49,100,8,"<a href=https://www.eatthismuch.com/recipe/nutrition/corn-flakes,35465/>Corn Flakes</a>",222.0
10,2,Turkey and Spinach Omelet,Breakfast,1.3,486,118,295,425,13,"<a href=https://www.eatthismuch.com/recipe/nutrition/turkey-and-spinach-omelet,907152/>Turkey and Spinach Omelet</a>",362.0
11,2,Peanut butter and jelly,Lunch,1.3,996,560,247,166,71,"<a href=https://www.eatthismuch.com/recipe/nutrition/peanut-butter-and-jelly,33486/>Peanut butter and jelly</a>",742.0
12,2,Tuna Curry Melt,Dinner,1.3,1098,468,132,608,49,"<a href=https://www.eatthismuch.com/recipe/nutrition/tuna-curry-melt,1012828/>Tuna Curry Melt</a>",818.0
13,2,Corn Flakes,Snack,1.3,298,474,67,135,12,"<a href=https://www.eatthismuch.com/recipe/nutrition/corn-flakes,35465/>Corn Flakes</a>",222.0
14,2,Banana,Snack,1.3,141,362,5,17,41,"<a href=https://www.eatthismuch.com/recipe/nutrition/banana,474253/>Banana</a>",105.0
15,3,Homemade Turkey McMuffins,Breakfast,0.7,321,209,163,230,32,"<a href=https://www.eatthismuch.com/recipe/nutrition/homemade-turkey-mcmuffins,927330/>Homemade Turkey McMuffins</a>",438.0
16,3,Crispy Hash Browns,Breakfast,0.7,250,366,104,43,26,"<a href=https://www.eatthismuch.com/recipe/nutrition/crispy-hash-browns,1497791/>Crispy Hash Browns</a>",342.0
17,3,Quick Avocado Tuna Sandwich,Lunch,0.7,625,268,107,287,44,"<a href=https://www.eatthismuch.com/recipe/nutrition/quick-avocado-tuna-sandwich,1012832/>Quick Avocado Tuna Sandwich</a>",852.0
18,3,3 Bean Salad,Dinner,0.7,1542,1401,60,477,368,"<a href=https://www.eatthismuch.com/recipe/nutrition/3-bean-salad,1012950/>Green Bean and Kidney Bean Salad</a>",2102.0
19,3,Corn Tuna Salad,Snack,0.7,184,126,46,253,17,"<a href=https://www.eatthismuch.com/recipe/nutrition/corn-tuna-salad,906535/>Corn Tuna Salad</a>",252.0
20,3,Cinnamon Apple Bites,Snack,0.7,59,158,1,3,20,"<a href=https://www.eatthismuch.com/recipe/nutrition/cinnamon-apple-bites,39304/>Cinnamon Apple Bites</a>",81.0
21,4,Chocolate Peanut Butter Pancakes,Breakfast,0.9,344,436,68,303,56,"<a href=https://www.eatthismuch.com/recipe/nutrition/chocolate-peanut-butter-pancakes,905782/>Peanut Butter Pancakes</a>",396.0
22,4,Big Bad Bean Burrito,Lunch,0.9,424,268,103,66,98,"<a href=https://www.eatthismuch.com/recipe/nutrition/big-bad-bean-burrito,57131/>Big PB&J Sandwich</a>",488.0
23,4,Cherry Tomatoes with Feta,Lunch,0.9,177,60,54,46,16,"<a href=https://www.eatthismuch.com/recipe/nutrition/cherry-tomatoes-with-feta,905747/>Cherry Tomatoes with Feta</a>",204.0
24,4,Chicken and Asparagus Lemon Stir-fry,Dinner,0.9,1762,303,262,1301,90,"<a href=https://www.eatthismuch.com/recipe/nutrition/chicken-and-asparagus-lemon-stir-fry,924550/>Chicken and Asparagus Lemon Stir-fry</a>",2028.0
25,4,Avocado,Snack,0.9,279,148,256,34,117,"<a href=https://www.eatthismuch.com/recipe/nutrition/avocado,474042/>Avocado</a>",322.0
26,5,Peanut Butter Protein Oats,Breakfast,1.5,579,484,206,530,77,"<a href=https://www.eatthismuch.com/recipe/nutrition/peanut-butter-protein-oats,905819/>Peanut Butter Protein Oats</a>",390.0
27,5,Basic protein shake,Lunch,1.5,718,218,86,475,0,"<a href=https://www.eatthismuch.com/recipe/nutrition/basic-protein-shake,34528/>Basic protein shake</a>",484.0
28,5,Grapes,Lunch,1.5,308,405,2,16,20,"<a href=https://www.eatthismuch.com/recipe/nutrition/grapes,474464/>Grapes</a>",208.0
