,index,Workout,Day,week,EXERCISE,SETS,REPS,obs
0,1,Workout A,monday,Week 1,1A. Goblet Squat,3.0,10,
1,1,Workout A,monday,Week 1,2A. Chinup/Lat Pulldown,3.0,10,Use band for chinups as needed. Use Lat Pulldown if necessary.
2,1,Workout A,monday,Week 1,1B. Dumbbell Stepups,2.0,12,Step should be at 90-degree knee flexion. Complete all reps for one leg before switching.
3,1,Workout A,monday,Week 1,2B. Single Arm Corner Press,2.0,12,
4,1,Workout A,monday,Week 1,1C. Prowler Chest Press,2.0,10,
5,1,Workout A,monday,Week 1,2C. Seated Cable Row,2.0,10,
6,1,Workout A,monday,Week 1,3C. Paloff Press,2.0,10,
7,2,Workout B,tuesday,Week 1,1A. Trap Bar Deadlift,3.0,12,
8,2,Workout B,tuesday,Week 1,2A. Incline DB Chest Press,3.0,12,Set incline to 30 degrees.
9,2,Workout B,tuesday,Week 1,1B. Dumbbell Split Squat,2.0,10,Hold a dumbbell in each hand.
10,2,Workout B,tuesday,Week 1,2B. Single Arm Cable Row,2.0,10,Do not allow torso to rotate.
11,2,Workout B,tuesday,Week 1,1C. Prowler Drive,2.0,D/B,
12,2,Workout B,tuesday,Week 1,2C. Standing Zottman Curls,2.0,12,Use rope attachment.
13,2,Workout B,tuesday,Week 1,3C. Reverse Crunch,2.0,12,
14,3,Intervals,wednesday,Week 1,Cardio: 30-60-90 Intervals,,,
15,4,Workout A,thursday,Week 1,1A. Goblet Squat,3.0,10,
16,4,Workout A,thursday,Week 1,2A. Chinup/Lat Pulldown,3.0,10,Use band for chinups as needed. Use Lat Pulldown if necessary.
17,4,Workout A,thursday,Week 1,1B. Dumbbell Stepups,2.0,12,Step should be at 90-degree knee flexion. Complete all reps for one leg before switching.
18,4,Workout A,thursday,Week 1,2B. Single Arm Corner Press,2.0,12,
19,4,Workout A,thursday,Week 1,1C. Prowler Chest Press,2.0,10,
20,4,Workout A,thursday,Week 1,2C. Seated Cable Row,2.0,10,
21,4,Workout A,thursday,Week 1,3C. Paloff Press,2.0,10,
22,5,Workout B,friday,Week 1,1A. Trap Bar Deadlift,3.0,12,
