,0,measure,amount,item,4,link_rece
0,,                                    1,                                    dash,                                    Salt,                                    ,"https://www.eatthismuch.com/recipe/nutrition/classic-mashed-cauliflower,33952/"
1,,                                    1,"                                    head medium (5-6"" dia.)",                                    Cauliflower,                                    ,"https://www.eatthismuch.com/recipe/nutrition/classic-mashed-cauliflower,33952/"
2,,                                    2,                                    tbsp,                                    Olive oil,                                    ,"https://www.eatthismuch.com/recipe/nutrition/classic-mashed-cauliflower,33952/"
3,,                                    1/4,                                    cup,                                    Water,                                    ,"https://www.eatthismuch.com/recipe/nutrition/classic-mashed-cauliflower,33952/"
4,,                                    3/4,"                                    breast, bone and skin removed",                                    Chicken breast,                                    ,"https://www.eatthismuch.com/recipe/nutrition/easy-cheesy-mixed-vegetables,1011236/"
5,,                                    1,                                    cup,                                    Mixed vegetables,                                    ,"https://www.eatthismuch.com/recipe/nutrition/easy-cheesy-mixed-vegetables,1011236/"
6,,                                    1,                                    oz,                                    Cottage cheese,                                    ,"https://www.eatthismuch.com/recipe/nutrition/easy-cheesy-mixed-vegetables,1011236/"
7,,                                    2,                                    tsp,                                    Dry taco seasoning mix,                                    ,"https://www.eatthismuch.com/recipe/nutrition/easy-cheesy-mixed-vegetables,1011236/"
8,,                                    1/4,"                                    cup, shredded",                                    Cheddar or colby cheese,                                    ,"https://www.eatthismuch.com/recipe/nutrition/easy-cheesy-mixed-vegetables,1011236/"
9,,                                    1,                                    cup shredded,                                    Lettuce,                                    ,"https://www.eatthismuch.com/recipe/nutrition/tuna-and-ranch-garden-salad,717719/"
10,,                                    1,"                                    large whole (3"" dia)",                                    Tomatoes,                                    ,"https://www.eatthismuch.com/recipe/nutrition/tuna-and-ranch-garden-salad,717719/"
11,,                                    1/2,                                    medium,                                    Cucumber,                                    ,"https://www.eatthismuch.com/recipe/nutrition/tuna-and-ranch-garden-salad,717719/"
12,,                                    3/4,                                    can,                                    Tuna,                                    ,"https://www.eatthismuch.com/recipe/nutrition/tuna-and-ranch-garden-salad,717719/"
13,,                                    2,                                    tbsp,                                    Ranch dressing,                                    ,"https://www.eatthismuch.com/recipe/nutrition/tuna-and-ranch-garden-salad,717719/"
14,,                                    2,                                    slice regular,                                    Multi-grain bread,                                    ,"https://www.eatthismuch.com/recipe/nutrition/tuna-and-ranch-garden-salad,717719/"
15,,                                    1,                                    tbsp,                                    Olive oil,                                    ,"https://www.eatthismuch.com/recipe/nutrition/spicy-chicken-salad,983901/"
16,,                                    1,"                                    breast, bone and skin removed",                                    Chicken breast,                                    ,"https://www.eatthismuch.com/recipe/nutrition/spicy-chicken-salad,983901/"
17,,                                    1/2,                                    pepper,                                    Jalapeno peppers,                                    ,"https://www.eatthismuch.com/recipe/nutrition/spicy-chicken-salad,983901/"
18,,                                    1/2,"                                    stalk, medium (7-1/2"" - 8"" long)",                                    Celery,                                    ,"https://www.eatthismuch.com/recipe/nutrition/spicy-chicken-salad,983901/"
19,,                                    1,                                    cup,                                    Spinach,                                    ,"https://www.eatthismuch.com/recipe/nutrition/spicy-chicken-salad,983901/"
20,,                                    1,                                    tsp,                                    Pepper,                                    ,"https://www.eatthismuch.com/recipe/nutrition/spicy-chicken-salad,983901/"
21,,                                    2,                                    tsp,                                    Lemon zest,                                    ,"https://www.eatthismuch.com/recipe/nutrition/spicy-chicken-salad,983901/"
22,,                                    3,                                    tbsp,                                    Balsamic vinegar,                                    ,"https://www.eatthismuch.com/recipe/nutrition/spicy-chicken-salad,983901/"
23,,                                    2,"                                    slice, regular",                                    Rye bread,                                    ,"https://www.eatthismuch.com/recipe/nutrition/peanut-butter-and-honey-sandwich-on-rye,717828/"
24,,                                    1/4,                                    tbsp,                                    Honey,                                    ,"https://www.eatthismuch.com/recipe/nutrition/peanut-butter-and-honey-sandwich-on-rye,717828/"
25,,                                    2,                                    tbsp,                                    Peanut butter,                                    ,"https://www.eatthismuch.com/recipe/nutrition/peanut-butter-and-honey-sandwich-on-rye,717828/"
26,,                                    1/2,                                    cup,                                    Water,                                    ,"https://www.eatthismuch.com/recipe/nutrition/sweet-chocolate-oatmeal,906682/"
27,,                                    1/4,                                    cup,                                    Rolled oats,                                    ,"https://www.eatthismuch.com/recipe/nutrition/sweet-chocolate-oatmeal,906682/"
28,,                                    2,                                    tsp,                                    Cocoa,                                    ,"https://www.eatthismuch.com/recipe/nutrition/sweet-chocolate-oatmeal,906682/"
29,,                                    1,                                    tbsp,                                    Brown sugar,                                    ,"https://www.eatthismuch.com/recipe/nutrition/sweet-chocolate-oatmeal,906682/"
30,,                                    1,                                    tbsp,                                    Olive oil,                                    ,"https://www.eatthismuch.com/recipe/nutrition/avocado-chicken-salad,924564/"
31,,                                    1,"                                    breast, bone and skin removed",                                    Chicken breast,                                    ,"https://www.eatthismuch.com/recipe/nutrition/avocado-chicken-salad,924564/"
