,day,cals,type_meal,meal,link,title,Calories,Carbs,Fat,Protein,Fiber,receita,recipe
0,0,2991,Breakfast,Peanut Butter Protein Oats,https://www.eatthismuch.com/food/browse/?q=Peanut%20Butter%20Protein%20Oats,Peanut Butter Protein Oats,390.0,326.0,139.0,357.0,52.0,"https://www.eatthismuch.com/recipe/nutrition/peanut-butter-protein-oats,905819/","https://www.eatthismuch.com/recipe/nutrition/peanut-butter-protein-oats,905819/"
1,0,2991,Lunch,Cinnamon-Raisin Peanut Butter Sandwich,https://www.eatthismuch.com/food/browse/?q=Cinnamon-Raisin%20Peanut%20Butter%20Sandwich,Cinnamon-Raisin Peanut Butter Sandwich,395.0,482.0,181.0,150.0,70.0,"https://www.eatthismuch.com/recipe/nutrition/cinnamon-raisin-peanut-butter-sandwich,36560/","https://www.eatthismuch.com/recipe/nutrition/cinnamon-raisin-peanut-butter-sandwich,36560/"
2,0,2991,Dinner,Cheesy Chicken and Spinach,https://www.eatthismuch.com/food/browse/?q=Cheesy%20Chicken%20and%20Spinach,Cheesy Chicken and Spinach,508.0,77.0,247.0,622.0,24.0,"https://www.eatthismuch.com/recipe/nutrition/cheesy-chicken-and-spinach,33936/","https://www.eatthismuch.com/recipe/nutrition/cheesy-chicken-and-spinach,33936/"
3,0,2991,Dinner,Easy Steamed Green Beans,https://www.eatthismuch.com/food/browse/?q=Easy%20Steamed%20Green%20Beans,Easy Steamed Green Beans,31.0,70.0,2.0,18.0,27.0,"https://www.eatthismuch.com/recipe/nutrition/easy-steamed-green-beans,906198/","https://www.eatthismuch.com/recipe/nutrition/easy-steamed-green-beans,906198/"
4,0,2991,Snack,Yogurt with Grape-nut Cereal and Honey,https://www.eatthismuch.com/food/browse/?q=Yogurt%20with%20Grape-nut%20Cereal%20and%20Honey,Yogurt with Grape-nut Cereal and Honey,171.0,275.0,9.0,146.0,26.0,"https://www.eatthismuch.com/recipe/nutrition/yogurt-with-grape-nut-cereal-and-honey,905510/","https://www.eatthismuch.com/recipe/nutrition/yogurt-with-grape-nut-cereal-and-honey,905510/"
5,1,2975,Breakfast,Peanut Butter and Honey Oatmeal,https://www.eatthismuch.com/food/browse/?q=Peanut%20Butter%20and%20Honey%20Oatmeal,Peanut Butter and Honey Oatmeal,709.0,984.0,275.0,296.0,120.0,"https://www.eatthismuch.com/recipe/nutrition/peanut-butter-and-honey-oatmeal,1015994/","https://www.eatthismuch.com/recipe/nutrition/peanut-butter-and-honey-oatmeal,1015994/"
6,1,2975,Lunch,Strawberry protein smoothie,https://www.eatthismuch.com/food/browse/?q=Strawberry%20protein%20smoothie,Tropical protein smoothie,425.0,769.0,22.0,284.0,57.0,"https://www.eatthismuch.com/recipe/nutrition/tropical-protein-smoothie,34387/","https://www.eatthismuch.com/recipe/nutrition/tropical-protein-smoothie,34387/"
7,1,2975,Lunch,Almonds,https://www.eatthismuch.com/food/browse/?q=Almonds,Almonds,164.0,61.0,142.0,60.0,35.0,"https://www.eatthismuch.com/recipe/nutrition/almonds,524950/","https://www.eatthismuch.com/recipe/nutrition/almonds,524950/"
8,1,2975,Dinner,Taco Bowl Salad,https://www.eatthismuch.com/food/browse/?q=Taco%20Bowl%20Salad,Taco Bowl Salad,445.0,300.0,224.0,299.0,28.0,"https://www.eatthismuch.com/recipe/nutrition/taco-bowl-salad,927253/","https://www.eatthismuch.com/recipe/nutrition/taco-bowl-salad,927253/"
9,1,2975,Snack,Corn Flakes,https://www.eatthismuch.com/food/browse/?q=Corn%20Flakes,Corn Flakes,222.0,353.0,50.0,101.0,9.0,"https://www.eatthismuch.com/recipe/nutrition/corn-flakes,35465/","https://www.eatthismuch.com/recipe/nutrition/corn-flakes,35465/"
10,2,3021,Breakfast,Turkey and Spinach Omelet,https://www.eatthismuch.com/food/browse/?q=Turkey%20and%20Spinach%20Omelet,Turkey and Spinach Omelet,362.0,88.0,220.0,317.0,10.0,"https://www.eatthismuch.com/recipe/nutrition/turkey-and-spinach-omelet,907152/","https://www.eatthismuch.com/recipe/nutrition/turkey-and-spinach-omelet,907152/"
11,2,3021,Lunch,Peanut butter and jelly,https://www.eatthismuch.com/food/browse/?q=Peanut%20butter%20and%20jelly,Peanut butter and jelly,371.0,417.0,184.0,124.0,53.0,"https://www.eatthismuch.com/recipe/nutrition/peanut-butter-and-jelly,33486/","https://www.eatthismuch.com/recipe/nutrition/peanut-butter-and-jelly,33486/"
12,2,3021,Dinner,Tuna Curry Melt,https://www.eatthismuch.com/food/browse/?q=Tuna%20Curry%20Melt,Tuna Curry Melt,409.0,349.0,99.0,453.0,37.0,"https://www.eatthismuch.com/recipe/nutrition/tuna-curry-melt,1012828/","https://www.eatthismuch.com/recipe/nutrition/tuna-curry-melt,1012828/"
13,2,3021,Snack,Corn Flakes,https://www.eatthismuch.com/food/browse/?q=Corn%20Flakes,Corn Flakes,222.0,353.0,50.0,101.0,9.0,"https://www.eatthismuch.com/recipe/nutrition/corn-flakes,35465/","https://www.eatthismuch.com/recipe/nutrition/corn-flakes,35465/"
14,2,3021,Snack,Banana,https://www.eatthismuch.com/food/browse/?q=Banana,Banana,105.0,270.0,4.0,13.0,31.0,"https://www.eatthismuch.com/recipe/nutrition/banana,474253/","https://www.eatthismuch.com/recipe/nutrition/banana,474253/"
15,3,2984,Breakfast,Homemade Turkey McMuffins,https://www.eatthismuch.com/food/browse/?q=Homemade%20Turkey%20McMuffins,Homemade Turkey McMuffins,438.0,285.0,223.0,314.0,44.0,"https://www.eatthismuch.com/recipe/nutrition/homemade-turkey-mcmuffins,927330/","https://www.eatthismuch.com/recipe/nutrition/homemade-turkey-mcmuffins,927330/"
16,3,2984,Breakfast,Crispy Hash Browns,https://www.eatthismuch.com/food/browse/?q=Crispy%20Hash%20Browns,Crispy Hash Browns,342.0,500.0,142.0,59.0,36.0,"https://www.eatthismuch.com/recipe/nutrition/crispy-hash-browns,1497791/","https://www.eatthismuch.com/recipe/nutrition/crispy-hash-browns,1497791/"
17,3,2984,Lunch,Quick Avocado Tuna Sandwich,https://www.eatthismuch.com/food/browse/?q=Quick%20Avocado%20Tuna%20Sandwich,Quick Avocado Tuna Sandwich,426.0,366.0,146.0,392.0,61.0,"https://www.eatthismuch.com/recipe/nutrition/quick-avocado-tuna-sandwich,1012832/","https://www.eatthismuch.com/recipe/nutrition/quick-avocado-tuna-sandwich,1012832/"
18,3,2984,Dinner,Green Bean and Kidney Bean Salad,https://www.eatthismuch.com/food/browse/?q=Green%20Bean%20and%20Kidney%20Bean%20Salad,3 Bean Salad,1051.0,1910.0,83.0,651.0,502.0,"https://www.eatthismuch.com/recipe/nutrition/3-bean-salad,1012950/","https://www.eatthismuch.com/recipe/nutrition/3-bean-salad,1012950/"
19,3,2984,Snack,Corn Tuna Salad,https://www.eatthismuch.com/food/browse/?q=Corn%20Tuna%20Salad,Corn Tuna Salad,252.0,173.0,64.0,346.0,24.0,"https://www.eatthismuch.com/recipe/nutrition/corn-tuna-salad,906535/","https://www.eatthismuch.com/recipe/nutrition/corn-tuna-salad,906535/"
20,3,2984,Snack,Cinnamon Apple Bites,https://www.eatthismuch.com/food/browse/?q=Cinnamon%20Apple%20Bites,Cinnamon Apple Bites,81.0,216.0,2.0,5.0,28.0,"https://www.eatthismuch.com/recipe/nutrition/cinnamon-apple-bites,39304/","https://www.eatthismuch.com/recipe/nutrition/cinnamon-apple-bites,39304/"
21,4,2988,Breakfast,Peanut Butter Pancakes,https://www.eatthismuch.com/food/browse/?q=Peanut%20Butter%20Pancakes,Chocolate Peanut Butter Pancakes,396.0,502.0,79.0,349.0,65.0,"https://www.eatthismuch.com/recipe/nutrition/chocolate-peanut-butter-pancakes,905782/","https://www.eatthismuch.com/recipe/nutrition/chocolate-peanut-butter-pancakes,905782/"
22,4,2988,Lunch,Big PB&J Sandwich,https://www.eatthismuch.com/food/browse/?q=Big%20PB&J%20Sandwich,Big Bad Bean Burrito,244.0,309.0,119.0,76.0,113.0,"https://www.eatthismuch.com/recipe/nutrition/big-bad-bean-burrito,57131/","https://www.eatthismuch.com/recipe/nutrition/big-bad-bean-burrito,57131/"
23,4,2988,Lunch,Cherry Tomatoes with Feta,https://www.eatthismuch.com/food/browse/?q=Cherry%20Tomatoes%20with%20Feta,Cherry Tomatoes with Feta,102.0,70.0,63.0,54.0,19.0,"https://www.eatthismuch.com/recipe/nutrition/cherry-tomatoes-with-feta,905747/","https://www.eatthismuch.com/recipe/nutrition/cherry-tomatoes-with-feta,905747/"
24,4,2988,Dinner,Chicken and Asparagus Lemon Stir-fry,https://www.eatthismuch.com/food/browse/?q=Chicken%20and%20Asparagus%20Lemon%20Stir-fry,Chicken and Asparagus Lemon Stir-fry,1014.0,349.0,302.0,1497.0,104.0,"https://www.eatthismuch.com/recipe/nutrition/chicken-and-asparagus-lemon-stir-fry,924550/","https://www.eatthismuch.com/recipe/nutrition/chicken-and-asparagus-lemon-stir-fry,924550/"
25,4,2988,Snack,Avocado,https://www.eatthismuch.com/food/browse/?q=Avocado,Avocado,322.0,171.0,295.0,40.0,135.0,"https://www.eatthismuch.com/recipe/nutrition/avocado,474042/","https://www.eatthismuch.com/recipe/nutrition/avocado,474042/"
26,5,2984,Breakfast,Peanut Butter Protein Oats,https://www.eatthismuch.com/food/browse/?q=Peanut%20Butter%20Protein%20Oats,Peanut Butter Protein Oats,390.0,326.0,139.0,357.0,52.0,"https://www.eatthismuch.com/recipe/nutrition/peanut-butter-protein-oats,905819/","https://www.eatthismuch.com/recipe/nutrition/peanut-butter-protein-oats,905819/"
27,5,2984,Lunch,Basic protein shake,https://www.eatthismuch.com/food/browse/?q=Basic%20protein%20shake,Basic protein shake,242.0,147.0,58.0,320.0,0.0,"https://www.eatthismuch.com/recipe/nutrition/basic-protein-shake,34528/","https://www.eatthismuch.com/recipe/nutrition/basic-protein-shake,34528/"
28,5,2984,Lunch,Grapes,https://www.eatthismuch.com/food/browse/?q=Grapes,Grapes,104.0,273.0,2.0,11.0,14.0,"https://www.eatthismuch.com/recipe/nutrition/grapes,474464/","https://www.eatthismuch.com/recipe/nutrition/grapes,474464/"
29,5,2984,Dinner,BLT sandwich,https://www.eatthismuch.com/food/browse/?q=BLT%20sandwich,BLT sandwich,343.0,293.0,167.0,189.0,50.0,"https://www.eatthismuch.com/recipe/nutrition/turkey-bacon-blt-sandwich,905840/","https://www.eatthismuch.com/recipe/nutrition/turkey-bacon-blt-sandwich,905840/"
30,5,2984,Snack,Peanut Butter & Carrots,https://www.eatthismuch.com/food/browse/?q=Peanut%20Butter%20Carrots,Peanut Butter & Carrots,241.0,192.0,163.0,89.0,61.0,"https://www.eatthismuch.com/recipe/nutrition/peanut-butter-carrots,386810/","https://www.eatthismuch.com/recipe/nutrition/peanut-butter-carrots,386810/"
31,6,2994,Breakfast,Tropical Green Smoothie,https://www.eatthismuch.com/food/browse/?q=Tropical%20Green%20Smoothie,Tropical Green Smoothie,270.0,609.0,34.0,46.0,78.0,"https://www.eatthismuch.com/recipe/nutrition/tropical-green-smoothie,934843/","https://www.eatthismuch.com/recipe/nutrition/tropical-green-smoothie,934843/"
32,6,2994,Breakfast,Morning Roasted Potatoes,https://www.eatthismuch.com/food/browse/?q=Morning%20Roasted%20Potatoes,Morning Roasted Potatoes,233.0,298.0,117.0,36.0,38.0,"https://www.eatthismuch.com/recipe/nutrition/morning-roasted-potatoes,36642/","https://www.eatthismuch.com/recipe/nutrition/morning-roasted-potatoes,36642/"
33,6,2994,Lunch,Big PB&J Sandwich,https://www.eatthismuch.com/food/browse/?q=Big%20PB&J%20Sandwich,Big Bad Bean Burrito,244.0,309.0,119.0,76.0,113.0,"https://www.eatthismuch.com/recipe/nutrition/big-bad-bean-burrito,57131/","https://www.eatthismuch.com/recipe/nutrition/big-bad-bean-burrito,57131/"
34,6,2994,Lunch,Banana,https://www.eatthismuch.com/food/browse/?q=Banana,Banana,105.0,270.0,4.0,13.0,31.0,"https://www.eatthismuch.com/recipe/nutrition/banana,474253/","https://www.eatthismuch.com/recipe/nutrition/banana,474253/"
35,6,2994,Dinner,Microwave Parmesan Lemon Chicken and Brussels Sprouts,https://www.eatthismuch.com/food/browse/?q=Microwave%20Parmesan%20Lemon%20Chicken%20and%20Brussels%20Sprouts,Microwave Parmesan Lemon Chicken and Brussels Sprouts,577.0,238.0,328.0,514.0,96.0,"https://www.eatthismuch.com/recipe/nutrition/microwave-parmesan-lemon-chicken-and-brussels-spro,1016886/","https://www.eatthismuch.com/recipe/nutrition/microwave-parmesan-lemon-chicken-and-brussels-spro,1016886/"
36,6,2994,Snack,Strawberry protein smoothie,https://www.eatthismuch.com/food/browse/?q=Strawberry%20protein%20smoothie,Tropical protein smoothie,425.0,769.0,22.0,284.0,57.0,"https://www.eatthismuch.com/recipe/nutrition/tropical-protein-smoothie,34387/","https://www.eatthismuch.com/recipe/nutrition/tropical-protein-smoothie,34387/"
37,7,3026,Breakfast,Strawberry Protein Shake,https://www.eatthismuch.com/food/browse/?q=Strawberry%20Protein%20Shake,Strawberry Banana Protein Shake,257.0,298.0,45.0,254.0,37.0,"https://www.eatthismuch.com/recipe/nutrition/strawberry-banana-protein-shake,949310/","https://www.eatthismuch.com/recipe/nutrition/strawberry-banana-protein-shake,949310/"
38,7,3026,Lunch,Strawberry protein smoothie,https://www.eatthismuch.com/food/browse/?q=Strawberry%20protein%20smoothie,Tropical protein smoothie,425.0,769.0,22.0,284.0,57.0,"https://www.eatthismuch.com/recipe/nutrition/tropical-protein-smoothie,34387/","https://www.eatthismuch.com/recipe/nutrition/tropical-protein-smoothie,34387/"
39,7,3026,Lunch,Peanut Butter & Carrots,https://www.eatthismuch.com/food/browse/?q=Peanut%20Butter%20Carrots,Peanut Butter & Carrots,241.0,192.0,163.0,89.0,61.0,"https://www.eatthismuch.com/recipe/nutrition/peanut-butter-carrots,386810/","https://www.eatthismuch.com/recipe/nutrition/peanut-butter-carrots,386810/"
40,7,3026,Dinner,Gourmet Grilled Cheese,https://www.eatthismuch.com/food/browse/?q=Gourmet%20Grilled%20Cheese,Gourmet Grilled Cheese,458.0,267.0,246.0,323.0,38.0,"https://www.eatthismuch.com/recipe/nutrition/gourmet-grilled-cheese,36733/","https://www.eatthismuch.com/recipe/nutrition/gourmet-grilled-cheese,36733/"
41,7,3026,Snack,Corn Flakes,https://www.eatthismuch.com/food/browse/?q=Corn%20Flakes,Corn Flakes,222.0,353.0,50.0,101.0,9.0,"https://www.eatthismuch.com/recipe/nutrition/corn-flakes,35465/","https://www.eatthismuch.com/recipe/nutrition/corn-flakes,35465/"
